Sujet,Groupe,Source,Tours,Erreurs
1070,vieux,simulation,24,15
71,jeune,simulation,14,5
1071,vieux,simulation,22,13
72,jeune,simulation,14,5
1072,vieux,simulation,23,14
73,jeune,simulation,15,6
1073,vieux,simulation,24,15
74,jeune,simulation,12,3
1074,vieux,simulation,25,16
75,jeune,simulation,14,5
1075,vieux,simulation,24,15
76,jeune,simulation,14,5
1076,vieux,simulation,28,19
77,jeune,simulation,13,4
1077,vieux,simulation,17,8
78,jeune,simulation,15,6
1078,vieux,simulation,21,12
79,jeune,simulation,12,3
1079,vieux,simulation,21,12
80,jeune,simulation,13,4
1080,vieux,simulation,25,16
81,jeune,simulation,12,3
1081,vieux,simulation,21,12
82,jeune,simulation,15,6
1082,vieux,simulation,23,14
83,jeune,simulation,12,3
1083,vieux,simulation,28,19
84,jeune,simulation,12,3
1084,vieux,simulation,25,16
85,jeune,simulation,13,4
1085,vieux,simulation,27,18
86,jeune,simulation,15,6
1086,vieux,simulation,21,12
87,jeune,simulation,12,3
1087,vieux,simulation,24,15
88,jeune,simulation,12,3
1088,vieux,simulation,26,17
89,jeune,simulation,15,6
1089,vieux,simulation,27,18
90,jeune,simulation,14,5
1090,vieux,simulation,22,13
91,jeune,simulation,11,2
1091,vieux,simulation,24,15
92,jeune,simulation,14,5
1092,vieux,simulation,26,17
93,jeune,simulation,12,3
1093,vieux,simulation,28,19
94,jeune,simulation,13,4
1094,vieux,simulation,25,16
95,jeune,simulation,12,3
1095,vieux,simulation,22,13
96,jeune,simulation,13,4
1096,vieux,simulation,16,7
97,jeune,simulation,10,1
1097,vieux,simulation,21,12
98,jeune,simulation,12,3
1098,vieux,simulation,29,20
99,jeune,simulation,13,4
1099,vieux,simulation,18,9
100,jeune,simulation,12,3
1100,vieux,simulation,22,13
101,jeune,simulation,13,4
1101,vieux,simulation,25,16
102,jeune,simulation,12,3
1102,vieux,simulation,22,13
103,jeune,simulation,13,4
1103,vieux,simulation,24,15
104,jeune,simulation,12,3
1104,vieux,simulation,24,15
105,jeune,simulation,12,3
1105,vieux,simulation,31,22
106,jeune,simulation,12,3
1106,vieux,simulation,20,11
107,jeune,simulation,16,7
1107,vieux,simulation,23,14
108,jeune,simulation,11,2
1108,vieux,simulation,21,12
109,jeune,simulation,14,5
1109,vieux,simulation,21,12
110,jeune,simulation,14,5
1110,vieux,simulation,23,14
111,jeune,simulation,13,4
1111,vieux,simulation,22,13
112,jeune,simulation,13,4
1112,vieux,simulation,19,10
113,jeune,simulation,11,2
1113,vieux,simulation,22,13
114,jeune,simulation,11,2
1114,vieux,simulation,21,12
115,jeune,simulation,12,3
1115,vieux,simulation,23,14
116,jeune,simulation,13,4
1116,vieux,simulation,20,11
117,jeune,simulation,14,5
1117,vieux,simulation,27,18
118,jeune,simulation,13,4
1118,vieux,simulation,20,11
119,jeune,simulation,13,4
1119,vieux,simulation,21,12
120,jeune,simulation,13,4
1120,vieux,simulation,24,15
121,jeune,simulation,13,4
1121,vieux,simulation,23,14
122,jeune,simulation,12,3
1122,vieux,simulation,29,20
123,jeune,simulation,14,5
1123,vieux,simulation,20,11
124,jeune,simulation,12,3
1124,vieux,simulation,26,17
125,jeune,simulation,13,4
1125,vieux,simulation,24,15
126,jeune,simulation,13,4
1126,vieux,simulation,23,14
127,jeune,simulation,13,4
1127,vieux,simulation,26,17
128,jeune,simulation,11,2
1128,vieux,simulation,28,19
129,jeune,simulation,12,3
1129,vieux,simulation,23,14
130,jeune,simulation,13,4
1130,vieux,simulation,21,12
131,jeune,simulation,11,2
1131,vieux,simulation,19,10
132,jeune,simulation,13,4
1132,vieux,simulation,26,17
133,jeune,simulation,12,3
1133,vieux,simulation,20,11
134,jeune,simulation,14,5
1134,vieux,simulation,22,13
135,jeune,simulation,14,5
1135,vieux,simulation,26,17
136,jeune,simulation,16,7
1136,vieux,simulation,27,18
137,jeune,simulation,12,3
1137,vieux,simulation,22,13
138,jeune,simulation,15,6
1138,vieux,simulation,27,18
139,jeune,simulation,11,2
1139,vieux,simulation,25,16
140,jeune,simulation,14,5
1140,vieux,simulation,24,15
141,jeune,simulation,12,3
1141,vieux,simulation,20,11
142,jeune,simulation,14,5
1142,vieux,simulation,24,15
143,jeune,simulation,16,7
1143,vieux,simulation,24,15
144,jeune,simulation,11,2
1144,vieux,simulation,27,18
145,jeune,simulation,14,5
1145,vieux,simulation,15,6
146,jeune,simulation,15,6
1146,vieux,simulation,24,15
147,jeune,simulation,12,3
1147,vieux,simulation,22,13
148,jeune,simulation,13,4
1148,vieux,simulation,28,19
149,jeune,simulation,13,4
1149,vieux,simulation,25,16
150,jeune,simulation,13,4
1150,vieux,simulation,22,13
151,jeune,simulation,11,2
1151,vieux,simulation,26,17
152,jeune,simulation,11,2
1152,vieux,simulation,17,8
153,jeune,simulation,12,3
1153,vieux,simulation,20,11
154,jeune,simulation,12,3
1154,vieux,simulation,22,13
155,jeune,simulation,15,6
1155,vieux,simulation,22,13
156,jeune,simulation,15,6
1156,vieux,simulation,27,18
157,jeune,simulation,13,4
1157,vieux,simulation,22,13
158,jeune,simulation,12,3
1158,vieux,simulation,28,19
159,jeune,simulation,15,6
1159,vieux,simulation,22,13
160,jeune,simulation,14,5
1160,vieux,simulation,23,14
161,jeune,simulation,12,3
1161,vieux,simulation,15,6
162,jeune,simulation,12,3
1162,vieux,simulation,20,11
163,jeune,simulation,10,1
1163,vieux,simulation,24,15
164,jeune,simulation,14,5
1164,vieux,simulation,28,19
165,jeune,simulation,13,4
1165,vieux,simulation,19,10
166,jeune,simulation,14,5
1166,vieux,simulation,26,17
167,jeune,simulation,13,4
1167,vieux,simulation,21,12
168,jeune,simulation,13,4
1168,vieux,simulation,24,15
169,jeune,simulation,12,3
1169,vieux,simulation,21,12
170,jeune,simulation,12,3
1170,vieux,simulation,28,19
171,jeune,simulation,13,4
1171,vieux,simulation,24,15
172,jeune,simulation,13,4
1172,vieux,simulation,25,16
173,jeune,simulation,13,4
1173,vieux,simulation,25,16
174,jeune,simulation,13,4
1174,vieux,simulation,27,18
175,jeune,simulation,13,4
1175,vieux,simulation,22,13
176,jeune,simulation,11,2
1176,vieux,simulation,23,14
177,jeune,simulation,10,1
1177,vieux,simulation,20,11
178,jeune,simulation,13,4
1178,vieux,simulation,26,17
179,jeune,simulation,14,5
1179,vieux,simulation,26,17
180,jeune,simulation,13,4
1180,vieux,simulation,26,17
181,jeune,simulation,13,4
1181,vieux,simulation,28,19
182,jeune,simulation,14,5
1182,vieux,simulation,21,12
183,jeune,simulation,12,3
1183,vieux,simulation,20,11
184,jeune,simulation,13,4
1184,vieux,simulation,20,11
185,jeune,simulation,14,5
1185,vieux,simulation,27,18
186,jeune,simulation,10,1
1186,vieux,simulation,24,15
187,jeune,simulation,12,3
1187,vieux,simulation,26,17
188,jeune,simulation,14,5
1188,vieux,simulation,22,13
189,jeune,simulation,14,5
1189,vieux,simulation,25,16
190,jeune,simulation,13,4
1190,vieux,simulation,18,9
191,jeune,simulation,11,2
1191,vieux,simulation,24,15
192,jeune,simulation,14,5
1192,vieux,simulation,24,15
193,jeune,simulation,15,6
1193,vieux,simulation,25,16
194,jeune,simulation,14,5
1194,vieux,simulation,21,12
195,jeune,simulation,14,5
1195,vieux,simulation,27,18
196,jeune,simulation,11,2
1196,vieux,simulation,26,17
197,jeune,simulation,14,5
1197,vieux,simulation,26,17
198,jeune,simulation,12,3
1198,vieux,simulation,24,15
199,jeune,simulation,14,5
1199,vieux,simulation,24,15
200,jeune,simulation,13,4
1200,vieux,simulation,22,13
201,jeune,simulation,12,3
1201,vieux,simulation,22,13
202,jeune,simulation,13,4
1202,vieux,simulation,27,18
203,jeune,simulation,14,5
1203,vieux,simulation,22,13
204,jeune,simulation,13,4
1204,vieux,simulation,29,20
205,jeune,simulation,14,5
1205,vieux,simulation,20,11
206,jeune,simulation,12,3
1206,vieux,simulation,31,22
207,jeune,simulation,11,2
1207,vieux,simulation,23,14
208,jeune,simulation,14,5
1208,vieux,simulation,26,17
209,jeune,simulation,10,1
1209,vieux,simulation,22,13
210,jeune,simulation,14,5
1210,vieux,simulation,27,18
211,jeune,simulation,11,2
1211,vieux,simulation,21,12
212,jeune,simulation,15,6
1212,vieux,simulation,22,13
213,jeune,simulation,13,4
1213,vieux,simulation,20,11
214,jeune,simulation,13,4
1214,vieux,simulation,29,20
215,jeune,simulation,12,3
1215,vieux,simulation,26,17
216,jeune,simulation,13,4
1216,vieux,simulation,22,13
217,jeune,simulation,11,2
1217,vieux,simulation,19,10
218,jeune,simulation,15,6
1218,vieux,simulation,21,12
219,jeune,simulation,14,5
1219,vieux,simulation,27,18
220,jeune,simulation,13,4
1220,vieux,simulation,27,18
221,jeune,simulation,12,3
1221,vieux,simulation,23,14
222,jeune,simulation,13,4
1222,vieux,simulation,22,13
223,jeune,simulation,14,5
1223,vieux,simulation,28,19
224,jeune,simulation,13,4
1224,vieux,simulation,19,10
225,jeune,simulation,12,3
1225,vieux,simulation,21,12
226,jeune,simulation,13,4
1226,vieux,simulation,25,16
227,jeune,simulation,12,3
1227,vieux,simulation,17,8
228,jeune,simulation,13,4
1228,vieux,simulation,25,16
229,jeune,simulation,12,3
1229,vieux,simulation,23,14
230,jeune,simulation,14,5
1230,vieux,simulation,21,12
231,jeune,simulation,12,3
1231,vieux,simulation,28,19
232,jeune,simulation,12,3
1232,vieux,simulation,20,11
233,jeune,simulation,14,5
1233,vieux,simulation,27,18
234,jeune,simulation,15,6
1234,vieux,simulation,26,17
235,jeune,simulation,12,3
1235,vieux,simulation,24,15
236,jeune,simulation,15,6
1236,vieux,simulation,18,9
237,jeune,simulation,13,4
1237,vieux,simulation,26,17
238,jeune,simulation,13,4
1238,vieux,simulation,30,21
239,jeune,simulation,12,3
1239,vieux,simulation,18,9
240,jeune,simulation,14,5
1240,vieux,simulation,26,17
241,jeune,simulation,12,3
1241,vieux,simulation,28,19
242,jeune,simulation,12,3
1242,vieux,simulation,25,16
243,jeune,simulation,11,2
1243,vieux,simulation,24,15
244,jeune,simulation,11,2
1244,vieux,simulation,23,14
245,jeune,simulation,14,5
1245,vieux,simulation,21,12
246,jeune,simulation,11,2
1246,vieux,simulation,23,14
247,jeune,simulation,11,2
1247,vieux,simulation,27,18
248,jeune,simulation,12,3
1248,vieux,simulation,29,20
249,jeune,simulation,12,3
1249,vieux,simulation,28,19
250,jeune,simulation,14,5
1250,vieux,simulation,21,12
251,jeune,simulation,12,3
1251,vieux,simulation,28,19
252,jeune,simulation,12,3
1252,vieux,simulation,20,11
253,jeune,simulation,13,4
1253,vieux,simulation,26,17
254,jeune,simulation,11,2
1254,vieux,simulation,18,9
255,jeune,simulation,12,3
1255,vieux,simulation,22,13
256,jeune,simulation,13,4
1256,vieux,simulation,30,21
257,jeune,simulation,13,4
1257,vieux,simulation,22,13
258,jeune,simulation,14,5
1258,vieux,simulation,25,16
259,jeune,simulation,14,5
1259,vieux,simulation,23,14
260,jeune,simulation,15,6
1260,vieux,simulation,26,17
261,jeune,simulation,14,5
1261,vieux,simulation,26,17
262,jeune,simulation,11,2
1262,vieux,simulation,25,16
263,jeune,simulation,11,2
1263,vieux,simulation,22,13
264,jeune,simulation,13,4
1264,vieux,simulation,27,18
265,jeune,simulation,14,5
1265,vieux,simulation,24,15
266,jeune,simulation,10,1
1266,vieux,simulation,23,14
267,jeune,simulation,12,3
1267,vieux,simulation,21,12
268,jeune,simulation,14,5
1268,vieux,simulation,28,19
269,jeune,simulation,11,2
1269,vieux,simulation,29,20
270,jeune,simulation,14,5
1270,vieux,simulation,19,10
271,jeune,simulation,14,5
1271,vieux,simulation,25,16
272,jeune,simulation,9,0
1272,vieux,simulation,21,12
273,jeune,simulation,13,4
1273,vieux,simulation,24,15
274,jeune,simulation,11,2
1274,vieux,simulation,23,14
275,jeune,simulation,13,4
1275,vieux,simulation,22,13
276,jeune,simulation,13,4
1276,vieux,simulation,27,18
277,jeune,simulation,14,5
1277,vieux,simulation,24,15
278,jeune,simulation,11,2
1278,vieux,simulation,25,16
279,jeune,simulation,12,3
1279,vieux,simulation,18,9
280,jeune,simulation,14,5
1280,vieux,simulation,25,16
281,jeune,simulation,11,2
1281,vieux,simulation,23,14
282,jeune,simulation,12,3
1282,vieux,simulation,28,19
283,jeune,simulation,14,5
1283,vieux,simulation,21,12
284,jeune,simulation,14,5
1284,vieux,simulation,26,17
285,jeune,simulation,13,4
1285,vieux,simulation,25,16
286,jeune,simulation,12,3
1286,vieux,simulation,25,16
287,jeune,simulation,14,5
1287,vieux,simulation,23,14
288,jeune,simulation,11,2
1288,vieux,simulation,23,14
289,jeune,simulation,13,4
1289,vieux,simulation,22,13
290,jeune,simulation,13,4
1290,vieux,simulation,23,14
291,jeune,simulation,13,4
1291,vieux,simulation,23,14
292,jeune,simulation,13,4
1292,vieux,simulation,19,10
293,jeune,simulation,13,4
1293,vieux,simulation,19,10
294,jeune,simulation,12,3
1294,vieux,simulation,25,16
295,jeune,simulation,14,5
1295,vieux,simulation,20,11
296,jeune,simulation,14,5
1296,vieux,simulation,24,15
297,jeune,simulation,12,3
1297,vieux,simulation,19,10
298,jeune,simulation,13,4
1298,vieux,simulation,23,14
299,jeune,simulation,13,4
1299,vieux,simulation,28,19
300,jeune,simulation,14,5
1300,vieux,simulation,22,13
301,jeune,simulation,14,5
1301,vieux,simulation,19,10
302,jeune,simulation,14,5
1302,vieux,simulation,23,14
303,jeune,simulation,15,6
1303,vieux,simulation,23,14
304,jeune,simulation,15,6
1304,vieux,simulation,20,11
305,jeune,simulation,12,3
1305,vieux,simulation,22,13
306,jeune,simulation,14,5
1306,vieux,simulation,26,17
307,jeune,simulation,14,5
1307,vieux,simulation,26,17
308,jeune,simulation,14,5
1308,vieux,simulation,24,15
309,jeune,simulation,12,3
1309,vieux,simulation,19,10
310,jeune,simulation,13,4
1310,vieux,simulation,27,18
311,jeune,simulation,13,4
1311,vieux,simulation,25,16
312,jeune,simulation,12,3
1312,vieux,simulation,22,13
313,jeune,simulation,14,5
1313,vieux,simulation,20,11
314,jeune,simulation,12,3
1314,vieux,simulation,21,12
315,jeune,simulation,14,5
1315,vieux,simulation,30,21
316,jeune,simulation,10,1
1316,vieux,simulation,24,15
317,jeune,simulation,12,3
1317,vieux,simulation,29,20
318,jeune,simulation,13,4
1318,vieux,simulation,29,20
319,jeune,simulation,12,3
1319,vieux,simulation,27,18
320,jeune,simulation,14,5
1320,vieux,simulation,24,15
321,jeune,simulation,13,4
1321,vieux,simulation,27,18
322,jeune,simulation,14,5
1322,vieux,simulation,24,15
323,jeune,simulation,13,4
1323,vieux,simulation,24,15
324,jeune,simulation,15,6
1324,vieux,simulation,21,12
325,jeune,simulation,14,5
1325,vieux,simulation,27,18
326,jeune,simulation,11,2
1326,vieux,simulation,26,17
327,jeune,simulation,11,2
1327,vieux,simulation,22,13
328,jeune,simulation,13,4
1328,vieux,simulation,25,16
329,jeune,simulation,12,3
1329,vieux,simulation,20,11
330,jeune,simulation,13,4
1330,vieux,simulation,23,14
331,jeune,simulation,14,5
1331,vieux,simulation,23,14
332,jeune,simulation,13,4
1332,vieux,simulation,20,11
333,jeune,simulation,13,4
1333,vieux,simulation,20,11
334,jeune,simulation,12,3
1334,vieux,simulation,20,11
335,jeune,simulation,12,3
1335,vieux,simulation,23,14
336,jeune,simulation,12,3
1336,vieux,simulation,28,19
337,jeune,simulation,13,4
1337,vieux,simulation,24,15
338,jeune,simulation,13,4
1338,vieux,simulation,21,12
339,jeune,simulation,13,4
1339,vieux,simulation,24,15
340,jeune,simulation,12,3
1340,vieux,simulation,22,13
341,jeune,simulation,15,6
1341,vieux,simulation,19,10
342,jeune,simulation,14,5
1342,vieux,simulation,26,17
343,jeune,simulation,12,3
1343,vieux,simulation,25,16
344,jeune,simulation,12,3
1344,vieux,simulation,26,17
345,jeune,simulation,12,3
1345,vieux,simulation,24,15
346,jeune,simulation,10,1
1346,vieux,simulation,24,15
347,jeune,simulation,14,5
1347,vieux,simulation,24,15
348,jeune,simulation,12,3
1348,vieux,simulation,22,13
349,jeune,simulation,13,4
1349,vieux,simulation,25,16
350,jeune,simulation,12,3
1350,vieux,simulation,27,18
351,jeune,simulation,13,4
1351,vieux,simulation,27,18
352,jeune,simulation,12,3
1352,vieux,simulation,19,10
353,jeune,simulation,12,3
1353,vieux,simulation,29,20
354,jeune,simulation,12,3
1354,vieux,simulation,21,12
355,jeune,simulation,14,5
1355,vieux,simulation,22,13
356,jeune,simulation,14,5
1356,vieux,simulation,28,19
357,jeune,simulation,14,5
1357,vieux,simulation,19,10
358,jeune,simulation,13,4
1358,vieux,simulation,26,17
359,jeune,simulation,12,3
1359,vieux,simulation,19,10
360,jeune,simulation,11,2
1360,vieux,simulation,28,19
361,jeune,simulation,15,6
1361,vieux,simulation,24,15
362,jeune,simulation,11,2
1362,vieux,simulation,18,9
363,jeune,simulation,14,5
1363,vieux,simulation,21,12
364,jeune,simulation,14,5
1364,vieux,simulation,22,13
365,jeune,simulation,12,3
1365,vieux,simulation,21,12
366,jeune,simulation,15,6
1366,vieux,simulation,24,15
367,jeune,simulation,12,3
1367,vieux,simulation,17,8
368,jeune,simulation,13,4
1368,vieux,simulation,22,13
369,jeune,simulation,11,2
1369,vieux,simulation,27,18
370,jeune,simulation,14,5
1370,vieux,simulation,25,16
371,jeune,simulation,10,1
1371,vieux,simulation,18,9
372,jeune,simulation,14,5
1372,vieux,simulation,26,17
373,jeune,simulation,12,3
1373,vieux,simulation,25,16
374,jeune,simulation,14,5
1374,vieux,simulation,22,13
375,jeune,simulation,14,5
1375,vieux,simulation,21,12
376,jeune,simulation,13,4
1376,vieux,simulation,19,10
377,jeune,simulation,14,5
1377,vieux,simulation,24,15
378,jeune,simulation,13,4
1378,vieux,simulation,24,15
379,jeune,simulation,11,2
1379,vieux,simulation,26,17
380,jeune,simulation,11,2
1380,vieux,simulation,18,9
381,jeune,simulation,13,4
1381,vieux,simulation,17,8
382,jeune,simulation,14,5
1382,vieux,simulation,22,13
383,jeune,simulation,13,4
1383,vieux,simulation,21,12
384,jeune,simulation,15,6
1384,vieux,simulation,25,16
385,jeune,simulation,14,5
1385,vieux,simulation,25,16
386,jeune,simulation,11,2
1386,vieux,simulation,20,11
387,jeune,simulation,12,3
1387,vieux,simulation,24,15
388,jeune,simulation,15,6
1388,vieux,simulation,24,15
389,jeune,simulation,13,4
1389,vieux,simulation,25,16
390,jeune,simulation,13,4
1390,vieux,simulation,21,12
391,jeune,simulation,12,3
1391,vieux,simulation,20,11
392,jeune,simulation,12,3
1392,vieux,simulation,27,18
393,jeune,simulation,15,6
1393,vieux,simulation,27,18
394,jeune,simulation,13,4
1394,vieux,simulation,25,16
395,jeune,simulation,13,4
1395,vieux,simulation,26,17
396,jeune,simulation,13,4
1396,vieux,simulation,26,17
397,jeune,simulation,12,3
1397,vieux,simulation,25,16
398,jeune,simulation,11,2
1398,vieux,simulation,21,12
399,jeune,simulation,14,5
1399,vieux,simulation,18,9
400,jeune,simulation,12,3
1400,vieux,simulation,21,12
401,jeune,simulation,10,1
1401,vieux,simulation,20,11
402,jeune,simulation,14,5
1402,vieux,simulation,24,15
403,jeune,simulation,11,2
1403,vieux,simulation,19,10
404,jeune,simulation,12,3
1404,vieux,simulation,22,13
405,jeune,simulation,15,6
1405,vieux,simulation,24,15
406,jeune,simulation,12,3
1406,vieux,simulation,25,16
407,jeune,simulation,16,7
1407,vieux,simulation,22,13
408,jeune,simulation,13,4
1408,vieux,simulation,25,16
409,jeune,simulation,13,4
1409,vieux,simulation,26,17
410,jeune,simulation,12,3
1410,vieux,simulation,23,14
411,jeune,simulation,14,5
1411,vieux,simulation,25,16
412,jeune,simulation,11,2
1412,vieux,simulation,30,21
413,jeune,simulation,10,1
1413,vieux,simulation,27,18
414,jeune,simulation,14,5
1414,vieux,simulation,28,19
415,jeune,simulation,11,2
1415,vieux,simulation,25,16
416,jeune,simulation,12,3
1416,vieux,simulation,27,18
417,jeune,simulation,12,3
1417,vieux,simulation,22,13
418,jeune,simulation,12,3
1418,vieux,simulation,31,22
419,jeune,simulation,13,4
1419,vieux,simulation,20,11
420,jeune,simulation,13,4
1420,vieux,simulation,22,13
421,jeune,simulation,12,3
1421,vieux,simulation,18,9
422,jeune,simulation,13,4
1422,vieux,simulation,26,17
423,jeune,simulation,13,4
1423,vieux,simulation,21,12
424,jeune,simulation,12,3
1424,vieux,simulation,22,13
425,jeune,simulation,11,2
1425,vieux,simulation,26,17
426,jeune,simulation,12,3
1426,vieux,simulation,18,9
427,jeune,simulation,13,4
1427,vieux,simulation,20,11
428,jeune,simulation,12,3
1428,vieux,simulation,22,13
429,jeune,simulation,12,3
1429,vieux,simulation,22,13
430,jeune,simulation,14,5
1430,vieux,simulation,29,20
431,jeune,simulation,11,2
1431,vieux,simulation,25,16
432,jeune,simulation,13,4
1432,vieux,simulation,24,15
433,jeune,simulation,12,3
1433,vieux,simulation,25,16
434,jeune,simulation,13,4
1434,vieux,simulation,22,13
435,jeune,simulation,12,3
1435,vieux,simulation,24,15
436,jeune,simulation,14,5
1436,vieux,simulation,21,12
437,jeune,simulation,12,3
1437,vieux,simulation,20,11
438,jeune,simulation,12,3
1438,vieux,simulation,22,13
439,jeune,simulation,13,4
1439,vieux,simulation,29,20
440,jeune,simulation,13,4
1440,vieux,simulation,19,10
441,jeune,simulation,13,4
1441,vieux,simulation,23,14
442,jeune,simulation,14,5
1442,vieux,simulation,24,15
443,jeune,simulation,11,2
1443,vieux,simulation,26,17
444,jeune,simulation,13,4
1444,vieux,simulation,21,12
445,jeune,simulation,13,4
1445,vieux,simulation,20,11
446,jeune,simulation,13,4
1446,vieux,simulation,22,13
447,jeune,simulation,15,6
1447,vieux,simulation,19,10
448,jeune,simulation,11,2
1448,vieux,simulation,21,12
449,jeune,simulation,12,3
1449,vieux,simulation,23,14
450,jeune,simulation,13,4
1450,vieux,simulation,21,12
451,jeune,simulation,11,2
1451,vieux,simulation,20,11
452,jeune,simulation,13,4
1452,vieux,simulation,22,13
453,jeune,simulation,11,2
1453,vieux,simulation,22,13
454,jeune,simulation,12,3
1454,vieux,simulation,25,16
455,jeune,simulation,15,6
1455,vieux,simulation,22,13
456,jeune,simulation,13,4
1456,vieux,simulation,27,18
457,jeune,simulation,13,4
1457,vieux,simulation,22,13
458,jeune,simulation,12,3
1458,vieux,simulation,24,15
459,jeune,simulation,14,5
1459,vieux,simulation,27,18
460,jeune,simulation,14,5
1460,vieux,simulation,23,14
461,jeune,simulation,12,3
1461,vieux,simulation,21,12
462,jeune,simulation,14,5
1462,vieux,simulation,25,16
463,jeune,simulation,14,5
1463,vieux,simulation,26,17
464,jeune,simulation,11,2
1464,vieux,simulation,24,15
465,jeune,simulation,13,4
1465,vieux,simulation,22,13
466,jeune,simulation,13,4
1466,vieux,simulation,22,13
467,jeune,simulation,10,1
1467,vieux,simulation,24,15
468,jeune,simulation,11,2
1468,vieux,simulation,27,18
469,jeune,simulation,13,4
1469,vieux,simulation,27,18
470,jeune,simulation,12,3
1470,vieux,simulation,26,17
471,jeune,simulation,11,2
1471,vieux,simulation,25,16
472,jeune,simulation,13,4
1472,vieux,simulation,22,13
473,jeune,simulation,13,4
1473,vieux,simulation,18,9
474,jeune,simulation,14,5
1474,vieux,simulation,19,10
475,jeune,simulation,12,3
1475,vieux,simulation,20,11
476,jeune,simulation,13,4
1476,vieux,simulation,26,17
477,jeune,simulation,12,3
1477,vieux,simulation,20,11
478,jeune,simulation,11,2
1478,vieux,simulation,23,14
479,jeune,simulation,12,3
1479,vieux,simulation,18,9
480,jeune,simulation,10,1
1480,vieux,simulation,21,12
481,jeune,simulation,12,3
1481,vieux,simulation,25,16
482,jeune,simulation,14,5
1482,vieux,simulation,23,14
483,jeune,simulation,12,3
1483,vieux,simulation,22,13
484,jeune,simulation,12,3
1484,vieux,simulation,21,12
485,jeune,simulation,11,2
1485,vieux,simulation,27,18
486,jeune,simulation,12,3
1486,vieux,simulation,23,14
487,jeune,simulation,12,3
1487,vieux,simulation,26,17
488,jeune,simulation,13,4
1488,vieux,simulation,26,17
489,jeune,simulation,11,2
1489,vieux,simulation,27,18
490,jeune,simulation,15,6
1490,vieux,simulation,24,15
491,jeune,simulation,11,2
1491,vieux,simulation,25,16
492,jeune,simulation,14,5
1492,vieux,simulation,24,15
493,jeune,simulation,12,3
1493,vieux,simulation,21,12
494,jeune,simulation,12,3
1494,vieux,simulation,18,9
495,jeune,simulation,12,3
1495,vieux,simulation,24,15
